% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.175214	1	1	2	3.38453e-11	71352.2	0
0.175214	1	2	1	3.36092e-11	70854.5	0
0.176214	1	1	2	3.38467e-11	71355.1	0
0.176214	1	2	1	3.36092e-11	70854.5	0
0.177214	1	1	2	3.3848e-11	71357.9	0
0.177214	1	2	1	3.36092e-11	70854.5	0
0.178214	1	1	2	3.38494e-11	71360.8	0
0.178214	1	2	1	3.36092e-11	70854.5	0
0.179214	1	1	2	3.38507e-11	71363.6	0
0.179214	1	2	1	3.36092e-11	70854.5	0
0.180214	1	1	2	3.38521e-11	71366.5	0
0.180214	1	2	1	3.36092e-11	70854.5	0
0.181214	1	1	2	3.38535e-11	71369.3	0
0.181214	1	2	1	3.36092e-11	70854.5	0
0.182214	1	1	2	3.38548e-11	71372.2	0
0.182214	1	2	1	3.36092e-11	70854.5	0
0.183214	1	1	2	3.38562e-11	71375.1	0
0.183214	1	2	1	3.36092e-11	70854.5	0
0.184214	1	1	2	3.38575e-11	71377.9	0
0.184214	1	2	1	3.36092e-11	70854.5	0
0.185214	1	1	2	3.38589e-11	71380.8	0
0.185214	1	2	1	3.36092e-11	70854.5	0
0.186214	1	1	2	3.38602e-11	71383.6	0
0.186214	1	2	1	3.36092e-11	70854.5	0
0.187214	1	1	2	3.38616e-11	71386.5	0
0.187214	1	2	1	3.36092e-11	70854.5	0
0.188214	1	1	2	3.38629e-11	71389.3	0
0.188214	1	2	1	3.36092e-11	70854.5	0
0.189214	1	1	2	3.38643e-11	71392.2	0
0.189214	1	2	1	3.36092e-11	70854.5	0
0.190214	1	1	2	3.38656e-11	71395	0
0.190214	1	2	1	3.36092e-11	70854.5	0
0.191214	1	1	2	3.3867e-11	71397.9	0
0.191214	1	2	1	3.36092e-11	70854.5	0
0.192214	1	1	2	3.38684e-11	71400.8	0
0.192214	1	2	1	3.36092e-11	70854.5	0
0.193214	1	1	2	3.38697e-11	71403.6	0
0.193214	1	2	1	3.36092e-11	70854.5	0
0.194214	1	1	2	3.38711e-11	71406.5	0
0.194214	1	2	1	3.36092e-11	70854.5	0
0.195214	1	1	2	3.38724e-11	71409.3	0
0.195214	1	2	1	3.36092e-11	70854.5	0
0.196214	1	1	2	3.38738e-11	71412.2	0
0.196214	1	2	1	3.36092e-11	70854.5	0
0.197214	1	1	2	3.38751e-11	71415	0
0.197214	1	2	1	3.36092e-11	70854.5	0
0.198214	1	1	2	3.38765e-11	71417.9	0
0.198214	1	2	1	3.36092e-11	70854.5	0
0.199214	1	1	2	3.38778e-11	71420.7	0
0.199214	1	2	1	3.36092e-11	70854.5	0
0.200214	1	1	2	3.38792e-11	71423.6	0
0.200214	1	2	1	3.36092e-11	70854.5	0
0.201214	1	1	2	3.38805e-11	71426.5	0
0.201214	1	2	1	3.36092e-11	70854.5	0
0.202214	1	1	2	3.38819e-11	71429.3	0
0.202214	1	2	1	3.36092e-11	70854.5	0
0.203214	1	1	2	3.38833e-11	71432.2	0
0.203214	1	2	1	3.36092e-11	70854.5	0
0.204214	1	1	2	3.38846e-11	71435	0
0.204214	1	2	1	3.36092e-11	70854.5	0
0.205214	1	1	2	3.3886e-11	71437.9	0
0.205214	1	2	1	3.36092e-11	70854.5	0
0.206214	1	1	2	3.38873e-11	71440.7	0
0.206214	1	2	1	3.36092e-11	70854.5	0
0.207214	1	1	2	3.38887e-11	71443.6	0
0.207214	1	2	1	3.36092e-11	70854.5	0
0.208214	1	1	2	3.389e-11	71446.5	0
0.208214	1	2	1	3.36092e-11	70854.5	0
0.209214	1	1	2	3.38914e-11	71449.3	0
0.209214	1	2	1	3.36092e-11	70854.5	0
0.210214	1	1	2	3.38927e-11	71452.2	0
0.210214	1	2	1	3.36092e-11	70854.5	0
0.211214	1	1	2	3.38941e-11	71455	0
0.211214	1	2	1	3.36092e-11	70854.5	0
0.212214	1	1	2	3.38955e-11	71457.9	0
0.212214	1	2	1	3.36092e-11	70854.5	0
