% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
828	1	1	1	0	0	28	2196	2	0	1	0
828	3	2	1	0	0	28	2196	2	0	1	0
829	1	1	1	0	0	28	2196	0	1	1	0
831	1	1	1	0	0	28	2196	1	0	0	0
831	3	2	1	0	0	28	2196	1	0	0	0
832	1	1	1	0	0	12	597	0	1	1	0
833	1	1	1	0	0	12	597	0	1	1	0
834	1	1	1	0	0	28	2196	0	1	0	0
834	3	2	1	0	0	28	2196	0	1	0	0
835	3	2	1	0	0	28	2196	0	1	1	0
838	1	1	1	0	0	28	2196	2	0	1	0
838	3	2	1	0	0	28	2196	2	0	1	0
839	1	1	1	0	0	28	2196	0	1	1	0
841	1	1	1	0	0	28	2196	1	0	0	0
841	3	2	1	0	0	28	2196	1	0	0	0
842	1	1	1	0	0	12	597	0	1	1	0
843	1	1	1	0	0	12	597	0	1	1	0
844	1	1	1	0	0	28	2196	0	1	0	0
844	3	2	1	0	0	28	2196	0	1	0	0
845	3	2	1	0	0	28	2196	0	1	1	0
848	1	1	1	0	0	28	2196	2	0	1	0
848	3	2	1	0	0	28	2196	2	0	1	0
849	1	1	1	0	0	28	2196	0	1	1	0
851	1	1	1	0	0	28	2196	1	0	0	0
851	3	2	1	0	0	28	2196	1	0	0	0
852	1	1	1	0	0	12	597	0	1	1	0
853	1	1	1	0	0	12	597	0	1	1	0
854	1	1	1	0	0	28	2196	0	1	0	0
854	3	2	1	0	0	28	2196	0	1	0	0
855	3	2	1	0	0	28	2196	0	1	1	0
858	1	1	1	0	0	28	2196	2	0	1	0
858	3	2	1	0	0	28	2196	2	0	1	0
859	1	1	1	0	0	28	2196	0	1	1	0
861	1	1	1	0	0	28	2196	1	0	0	0
861	3	2	1	0	0	28	2196	1	0	0	0
862	1	1	1	0	0	12	597	0	1	1	0
863	1	1	1	0	0	12	597	0	1	1	0
864	1	1	1	0	0	28	2196	0	1	0	0
864	3	2	1	0	0	28	2196	0	1	0	0
865	3	2	1	0	0	28	2196	0	1	1	0
868	1	1	1	0	0	28	2196	2	0	1	0
868	3	2	1	0	0	28	2196	2	0	1	0
869	1	1	1	0	0	28	2196	0	1	1	0
871	1	1	1	0	0	28	2196	1	0	0	0
871	3	2	1	0	0	28	2196	1	0	0	0
