% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
4046	1	1	1	0	28	2292	0	1	1	0
4056	1	1	1	0	28	2292	0	1	1	0
4066	1	1	1	0	28	2292	0	1	1	0
4076	1	1	1	0	28	2292	0	1	1	0
4086	1	1	1	0	28	2292	0	1	1	0
4096	1	1	1	0	28	2292	0	1	1	0
4106	1	1	1	0	28	2292	0	1	1	0
4116	1	1	1	0	28	2292	0	1	1	0
4126	1	1	1	0	28	2292	0	1	1	0
4136	1	1	1	0	28	2292	0	1	1	0
4146	1	1	1	0	28	2292	0	1	1	0
4156	1	1	1	0	28	2292	0	1	1	0
4166	1	1	1	0	28	2292	0	1	1	0
4176	1	1	1	0	28	2292	0	1	1	0
4186	1	1	1	0	28	2292	0	1	1	0
4196	1	1	1	0	28	2292	0	1	1	0
4206	1	1	1	0	28	2292	0	1	1	0
4216	1	1	1	0	28	2292	0	1	1	0
4226	1	1	1	0	28	2292	0	1	1	0
4236	1	1	1	0	28	2292	0	1	1	0
4246	1	1	1	0	28	2292	0	1	1	0
4256	1	1	1	0	28	2292	0	1	1	0
4266	1	1	1	0	28	2292	0	1	1	0
4276	1	1	1	0	28	2292	0	1	1	0
4286	1	1	1	0	28	2292	0	1	1	0
4296	1	1	1	0	28	2292	0	1	1	0
4306	1	1	1	0	28	2292	0	1	1	0
4316	1	1	1	0	28	2292	0	1	1	0
4326	1	1	1	0	28	2292	0	1	1	0
4336	1	1	1	0	28	2292	0	1	1	0
4346	1	1	1	0	28	2292	0	1	1	0
4356	1	1	1	0	28	2292	0	1	1	0
4366	1	1	1	0	28	2292	0	1	1	0
4376	1	1	1	0	28	2292	0	1	1	0
4386	1	1	1	0	28	2292	0	1	1	0
4396	1	1	1	0	28	2292	0	1	1	0
4406	1	1	1	0	28	2292	0	1	1	0
4416	1	1	1	0	28	2292	0	1	1	0
4426	1	1	1	0	28	2292	0	1	1	0
4436	1	1	1	0	28	2292	0	1	1	0
4446	1	1	1	0	28	2292	0	1	1	0
4456	1	1	1	0	28	2292	0	1	1	0
4466	1	1	1	0	28	2292	0	1	1	0
4476	1	1	1	0	28	2292	0	1	1	0
4486	1	1	1	0	28	2292	0	1	1	0
4496	1	1	1	0	28	2292	0	1	1	0
4506	1	1	1	0	28	2292	0	1	1	0
4516	1	1	1	0	28	2292	0	1	1	0
4526	1	1	1	0	28	2292	0	1	1	0
